"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"DCST1",0,0,0,0,1,0,0,0,0,1,1,1
"DCTD",0,0,0,0,1,0,0,0,0,1,1,1
"DCTN2",0,0,0,0,1,0,0,0,0,1,1,1
"DCTN3",0,0,0,0,1,0,0,0,0,1,1,1
"DCUN1D3",0,0,0,0,1,0,0,0,0,1,1,1
"DCX",0,0,0,0,1,0,0,0,0,1,1,1
"DDAH1",0,0,0,0,1,0,0,0,0,1,1,1
"DDAH2",0,0,0,0,1,0,0,0,0,1,1,1
"DDB1",0,0,0,0,0,1,0,0,0,1,1,1
"DDIAS",0,0,0,0,1,0,0,0,0,1,1,1
"DDR2",0,0,0,0,1,0,0,0,0,1,1,1
"DDX20",0,1,0,0,0,0,0,0,0,1,1,1
"DDX3X",0,0,0,0,1,0,0,0,0,1,1,1
"DDX49",0,0,0,0,1,0,0,0,0,1,1,1
"DDX50",0,0,0,0,0,1,0,0,0,1,1,1
"DELE1",0,0,0,0,1,0,0,0,0,1,1,1
"DENND1C",0,1,0,0,0,0,0,0,0,1,1,1
"DENND2C",0,0,0,0,1,0,0,0,0,1,1,1
"DENND5A",0,0,0,0,0,1,0,0,0,1,1,1
"DEPDC4",0,0,0,0,1,0,0,0,0,1,1,1
"DESI1",0,0,0,0,1,0,0,0,0,1,1,1
"DEUP1",0,0,0,0,1,0,0,0,0,1,1,1
"DGKA",0,0,0,0,1,0,0,0,0,1,1,1
"DGKD",0,0,0,0,1,0,0,0,0,1,1,1
"DHX30",0,0,0,0,1,0,0,0,0,1,1,1
"DHX32",0,0,0,0,1,0,0,0,0,1,1,1
"DHX33",0,0,0,0,1,0,0,0,0,1,1,1
"DHX38",0,0,0,0,1,0,0,0,0,1,1,1
"DIAPH2",0,0,0,0,1,0,0,0,0,1,1,1
"DIAPH3",0,0,0,0,0,0,0,1,0,1,1,1
"DIO2",0,0,0,0,1,0,0,0,0,1,1,1
"DIXDC1",0,0,0,0,1,0,0,0,0,1,1,1
"DLD",0,0,0,0,1,0,0,0,0,1,1,1
"DLG5",0,1,0,0,0,0,0,0,0,1,1,1
"DLGAP2",0,0,0,0,1,0,0,0,0,1,1,1
"DNAH10",0,0,0,0,1,0,0,0,0,1,1,1
"DNAH17",0,0,0,0,0,1,0,0,0,1,1,1
"DNAH5",0,0,0,0,1,0,0,0,0,1,1,1
"DNAH9",0,0,0,0,1,0,0,0,0,1,1,1
"DNAJB1",0,0,0,0,1,0,0,0,0,1,1,1
"DNAJB2",0,0,0,0,1,0,0,0,0,1,1,1
"DNAJC10",0,0,0,0,1,0,0,0,0,1,1,1
"DNAJC14",0,0,0,0,1,0,0,0,0,1,1,1
"DNHD1",0,0,0,0,1,0,0,0,0,1,1,1
"DNM1",0,0,0,0,1,0,0,0,0,1,1,1
"DOCK2",0,0,0,0,0,0,0,1,0,1,1,1
"DOCK3",0,0,0,0,1,0,0,0,0,1,1,1
"DOCK5",0,0,0,0,1,0,0,0,0,1,1,1
"DOCK9",0,1,0,0,0,0,0,0,0,1,1,1
"DOK4",0,0,0,0,1,0,0,0,0,1,1,1
"DOK7",0,0,0,0,1,0,0,0,0,1,1,1
"DONSON",0,0,0,0,1,0,0,0,0,1,1,1
"DPEP3",0,0,0,0,1,0,0,0,0,1,1,1
"DSCAM",0,0,0,0,1,0,0,0,0,1,1,1
"DSG3",0,0,0,0,1,0,0,0,0,1,1,1
"DTX3",0,0,0,0,1,0,0,0,0,1,1,1
"DTX4",0,0,0,0,1,0,0,0,0,1,1,1
"DUOXA2",0,0,0,0,1,0,0,0,0,1,1,1
"DUSP1",0,0,0,0,1,0,0,0,0,1,1,1
"DYNC1H1",0,0,0,0,1,0,0,0,0,1,1,1
"DYNC1LI1",0,0,0,0,1,0,0,0,0,1,1,1
"DYNLRB1",0,0,0,0,1,0,0,0,0,1,1,1
"DYSF",0,0,0,0,1,0,0,0,0,1,1,1
"DZIP1",0,0,0,0,1,0,0,0,0,1,1,1
"E2F8",0,0,0,0,1,0,0,0,0,1,1,1
"ECPAS",0,0,0,0,1,0,0,0,0,1,1,1
"EDEM2",0,0,0,0,1,0,0,0,0,1,1,1
"EEA1",0,0,0,0,1,0,0,0,0,1,1,1
"EFCAB11",0,0,0,0,1,0,0,0,0,1,1,1
"EFHB",0,0,0,0,1,0,0,0,0,1,1,1
"EFHC2",0,0,0,0,1,0,0,0,0,1,1,1
"EFS",0,0,0,0,1,0,0,0,0,1,1,1
"EFTUD2",0,0,0,0,1,0,0,0,0,1,1,1
"EGFLAM",0,0,0,0,1,0,0,0,0,1,1,1
"EGR1",0,1,0,0,0,0,0,0,0,1,1,1
"EHD2",0,0,0,0,1,0,0,0,0,1,1,1
"EIF2AK4",0,0,0,0,1,0,0,0,0,1,1,1
"EIF4A2",0,0,0,0,1,0,0,0,0,1,1,1
"EIF4G1",0,0,0,0,1,0,0,0,0,1,1,1
"ELMO2",0,0,0,0,1,0,0,0,0,1,1,1
"ELMOD1",0,0,0,0,1,0,0,0,0,1,1,1
"ELP1",0,0,0,0,1,0,0,0,0,1,1,1
"ENO2",0,0,0,0,1,0,0,0,0,1,1,1
"ENOX1",0,0,0,0,1,0,0,0,0,1,1,1
"ENPP6",0,0,0,0,0,1,0,0,0,1,1,1
"ENTPD1",0,0,0,0,1,0,0,0,0,1,1,1
"ENTPD5",1,0,0,0,0,0,0,0,0,1,1,1
"ENTPD6",0,0,0,0,1,0,0,0,0,1,1,1
"EP400",0,0,0,0,1,0,0,0,0,1,1,1
"EPB42",0,0,0,0,1,0,0,0,0,1,1,1
"EPHA10",0,0,0,0,1,0,0,0,0,1,1,1
"EPHA4",0,0,0,0,1,0,0,0,0,1,1,1
"EPHB6",0,0,0,0,1,0,0,0,0,1,1,1
"EPHX3",0,1,0,0,0,0,0,0,0,1,1,1
"EPS8",0,0,0,0,1,0,0,0,0,1,1,1
"ERBB2",1,0,0,0,0,0,0,0,0,1,1,1
"ERBB4",0,0,0,0,0,0,0,1,0,1,1,1
"ERBIN",0,0,0,0,1,0,0,0,0,1,1,1
"ERCC1",0,0,0,0,1,0,0,0,0,1,1,1
"ERCC3",0,0,0,0,1,0,0,0,0,1,1,1
"ERCC4",0,1,0,0,0,0,0,0,0,1,1,1
"ERG",0,0,0,0,1,0,0,0,0,1,1,1
"ERICH6",1,0,0,0,0,0,0,0,0,1,1,1
"ESM1",0,0,0,0,1,0,0,0,0,1,1,1
"ESYT3",0,0,0,0,1,0,0,0,0,1,1,1
"ETV2",0,1,0,0,0,0,0,0,0,1,1,1
"ETV4",0,0,0,0,1,0,0,0,0,1,1,1
"EXOC4",0,0,0,0,1,0,0,0,0,1,1,1
"EXTL3",0,0,0,0,1,0,0,0,0,1,1,1
"EYA4",0,0,0,0,1,0,0,0,0,1,1,1
"EZR",0,1,0,0,0,0,0,0,0,1,1,1
"FAHD2B",0,0,0,0,1,0,0,0,0,1,1,1
"FAM114A1",0,0,0,0,1,0,0,0,0,1,1,1
"FAM122C",0,0,0,0,1,0,0,0,0,1,1,1
"FAM133A",0,0,0,0,0,1,0,0,0,1,1,1
"FAM160B1",0,0,0,0,1,0,0,0,0,1,1,1
"FAM166A",0,0,0,0,1,0,0,0,0,1,1,1
"FAM166C",0,0,0,0,1,0,0,0,0,1,1,1
"FAM71A",0,0,0,0,0,1,0,0,0,1,1,1
"FAM83D",0,0,0,0,1,0,0,0,0,1,1,1
"FAM89B",0,0,0,0,1,0,0,0,0,1,1,1
"FANCA",0,0,0,0,1,0,0,0,0,1,1,1
"FARP2",0,0,0,0,0,1,0,0,0,1,1,1
"FARSA",0,0,0,0,1,0,0,0,0,1,1,1
"FBN1",0,0,0,0,1,0,0,0,0,1,1,1
"FBN2",0,0,0,0,1,0,0,0,0,1,1,1
"FBN3",0,0,0,0,1,0,0,0,0,1,1,1
"FBXL19",0,0,0,0,1,0,0,0,0,1,1,1
"FBXO11",0,1,0,0,0,0,0,0,0,1,1,1
"FBXO38",0,0,0,0,1,0,0,0,0,1,1,1
"FBXO39",0,0,0,0,1,0,0,0,0,1,1,1
"FBXO40",0,0,0,0,1,0,0,0,0,1,1,1
"FBXO6",0,0,0,0,0,1,0,0,0,1,1,1
"FBXW9",0,0,0,0,1,0,0,0,0,1,1,1
"FCGBP",0,0,0,0,1,0,0,0,0,1,1,1
"FER1L5",0,0,0,0,1,0,0,0,0,1,1,1
"FERD3L",0,0,0,0,1,0,0,0,0,1,1,1
"FEZF2",0,0,0,0,1,0,0,0,0,1,1,1
"FGD1",0,0,0,0,1,0,0,0,0,1,1,1
"FGD6",0,0,0,0,1,0,0,0,0,1,1,1
"FGF10",0,0,0,0,0,1,0,0,0,1,1,1
"FGF13",0,0,0,0,1,0,0,0,0,1,1,1
"FGF21",0,0,0,0,1,0,0,0,0,1,1,1
"FGF8",0,0,0,0,1,0,0,0,0,1,1,1
"FGFR2",0,0,0,0,1,0,0,0,0,1,1,1
"FICD",0,0,0,0,1,0,0,0,0,1,1,1
"FKBP10",0,0,0,0,1,0,0,0,0,1,1,1
"FKBP14",1,0,0,0,0,0,0,0,0,1,1,1
"FLG",0,0,0,0,1,0,0,0,0,1,1,1
"FLG2",0,0,0,0,1,0,0,0,0,1,1,1
"FLNA",0,1,0,0,0,0,0,0,0,1,1,1
"FLOT2",0,0,0,0,1,0,0,0,0,1,1,1
"FLRT1",0,0,0,0,1,0,0,0,0,1,1,1
"FLRT2",0,0,0,0,1,0,0,0,0,1,1,1
"FLVCR2",0,0,0,0,1,0,0,0,0,1,1,1
"FLYWCH1",0,0,0,0,1,0,0,0,0,1,1,1
"FN1",0,1,0,0,0,0,0,0,0,1,1,1
"FNIP2",0,0,0,0,1,0,0,0,0,1,1,1
"FOCAD",0,0,0,0,1,0,0,0,0,1,1,1
"FOLR3",0,0,0,0,1,0,0,0,0,1,1,1
"FOXG1",0,0,0,0,1,0,0,0,0,1,1,1
"FOXP2",0,0,0,0,1,0,0,0,0,1,1,1
"FOXP3",0,0,0,0,1,0,0,0,0,1,1,1
"FOXR1",0,0,0,0,1,0,0,0,0,1,1,1
"FRAS1",0,0,0,0,1,0,0,0,0,1,1,1
"FRG2",0,0,0,0,1,0,0,0,0,1,1,1
"FRMPD3",0,0,0,0,1,0,0,0,0,1,1,1
"FRRS1",0,0,0,0,1,0,0,0,0,1,1,1
"FRYL",0,0,0,0,0,0,0,1,0,1,1,1
"FSD1",0,0,0,0,0,1,0,0,0,1,1,1
"FSD2",0,0,0,0,1,0,0,0,0,1,1,1
"FSIP2",0,0,0,0,1,0,0,0,0,1,1,1
"FUBP3",0,0,0,0,1,0,0,0,0,1,1,1
"FUT6",0,0,0,0,1,0,0,0,0,1,1,1
"GAB3",0,0,0,0,1,0,0,0,0,1,1,1
"GABBR1",0,0,0,0,1,0,0,0,0,1,1,1
"GABRG3",0,0,0,0,1,0,0,0,0,1,1,1
"GALNT13",0,0,0,0,1,0,0,0,0,1,1,1
"GALNT18",0,0,0,0,1,0,0,0,0,1,1,1
"GALNT2",0,0,0,0,1,0,0,0,0,1,1,1
"GALNTL5",0,0,0,0,0,1,0,0,0,1,1,1
"GAPDHS",0,0,0,0,1,0,0,0,0,1,1,1
"GAPVD1",0,0,0,0,1,0,0,0,0,1,1,1
"GBP1",0,0,0,0,1,0,0,0,0,1,1,1
"GCAT",0,1,0,0,0,0,0,0,0,1,1,1
"GCM2",0,0,0,0,1,0,0,0,0,1,1,1
"GCNT4",0,0,0,0,1,0,0,0,0,1,1,1
"GDF2",0,0,0,0,0,1,0,0,0,1,1,1
"GDF5",0,1,0,0,0,0,0,0,0,1,1,1
"GFPT2",0,0,0,0,1,0,0,0,0,1,1,1
"GFRA2",0,0,0,0,1,0,0,0,0,1,1,1
"GGA1",0,0,0,0,1,0,0,0,0,1,1,1
"GHR",0,0,0,0,1,0,0,0,0,1,1,1
"GIGYF2",0,0,0,0,0,1,0,0,0,1,1,1
"GIMAP8",0,0,0,0,1,0,0,0,0,1,1,1
"GJA4",0,0,0,0,1,0,0,0,0,1,1,1
"GJC1",0,0,0,0,1,0,0,0,0,1,1,1
"GJC3",0,0,0,0,1,0,0,0,0,1,1,1
"GK2",0,0,0,0,1,0,0,0,0,1,1,1
"GLB1L2",0,0,0,0,1,0,0,0,0,1,1,1
"GLDC",0,0,0,0,1,0,0,0,0,1,1,1
"GLDN",0,0,0,0,1,0,0,0,0,1,1,1
"GLE1",0,0,0,0,1,0,0,0,0,1,1,1
"GLG1",0,0,0,0,0,1,0,0,0,1,1,1
"GLIS3",0,0,0,0,1,0,0,0,0,1,1,1
"GLRX5",1,0,0,0,0,0,0,0,0,1,1,1
"GLTP",0,0,0,0,1,0,0,0,0,1,1,1
"GML",0,0,0,0,1,0,0,0,0,1,1,1
"GMPR2",0,0,0,0,1,0,0,0,0,1,1,1
"GNB1",0,0,0,0,1,0,0,0,0,1,1,1
"GNB3",1,0,0,0,0,0,0,0,0,1,1,1
"GNE",0,0,0,0,0,0,0,1,0,1,1,1
"GNL3",0,0,0,0,1,0,0,0,0,1,1,1
"GNPAT",0,0,0,0,1,0,0,0,0,1,1,1
"GNRHR",0,0,0,0,1,0,0,0,0,1,1,1
"GNS",0,0,0,0,1,0,0,0,0,1,1,1
"GOLGA4",0,0,0,0,1,0,0,0,0,1,1,1
"GON4L",0,0,0,0,1,0,0,0,0,1,1,1
"GOT1L1",0,0,0,0,1,0,0,0,0,1,1,1
"GP1BA",0,0,0,0,1,0,0,0,0,1,1,1
"GP6",0,0,0,0,1,0,0,0,0,1,1,1
"GPATCH4",0,0,0,0,1,0,0,0,0,1,1,1
"GPBAR1",0,0,0,0,1,0,0,0,0,1,1,1
"GPC4",0,0,0,0,1,0,0,0,0,1,1,1
"GPHN",0,0,0,0,1,0,0,0,0,1,1,1
"GPR101",0,0,0,0,1,0,0,0,0,1,1,1
"GPR15",0,0,0,0,1,0,0,0,0,1,1,1
"GPR156",0,0,0,0,0,1,0,0,0,1,1,1
"GPR173",0,0,0,0,1,0,0,0,0,1,1,1
"GPR21",0,0,0,0,0,1,0,0,0,1,1,1
"GPR6",0,0,0,0,1,0,0,0,0,1,1,1
"GPRASP1",0,0,0,0,1,0,0,0,0,1,1,1
"GPRC6A",0,0,0,0,1,0,0,0,0,1,1,1
"GPRIN1",0,0,0,0,1,0,0,0,0,1,1,1
"GPS2",0,0,0,0,1,0,0,0,0,1,1,1
"GPSM1",0,0,0,0,1,0,0,0,0,1,1,1
"GREM2",0,0,0,0,1,0,0,0,0,1,1,1
"GRIA3",0,0,0,0,1,0,0,0,0,1,1,1
"GRIK1",0,0,0,0,1,0,0,0,0,1,1,1
"GRIK2",0,0,0,0,1,0,0,0,0,1,1,1
"GRIK5",0,0,0,0,1,0,0,0,0,1,1,1
"GRIN2B",0,0,0,0,1,0,0,0,0,1,1,1
"GRIPAP1",0,0,0,0,1,0,0,0,0,1,1,1
"GRK2",0,0,0,0,0,0,0,1,0,1,1,1
"GRK4",0,0,0,0,1,0,0,0,0,1,1,1
"GRK5",0,1,0,0,0,0,0,0,0,1,1,1
"GRK7",0,0,0,0,1,0,0,0,0,1,1,1
"GRM1",0,0,0,0,1,0,0,0,0,1,1,1
"GRM3",0,0,0,0,1,0,0,0,0,1,1,1
"GRM8",0,0,0,0,1,0,0,0,0,1,1,1
"GRPR",0,0,0,0,1,0,0,0,0,1,1,1
"GSTCD",0,0,0,0,1,0,0,0,0,1,1,1
"GSTK1",0,0,0,0,1,0,0,0,0,1,1,1
"GSTM4",0,0,0,0,1,0,0,0,0,1,1,1
"GTF2IRD1",0,0,0,0,1,0,0,0,0,1,1,1
"GTF3C1",0,1,0,0,0,0,0,0,0,1,1,1
"GTF3C2",0,0,0,0,1,0,0,0,0,1,1,1
"GTF3C3",0,0,0,0,1,0,0,0,0,1,1,1
"GUCY1A2",0,0,0,0,1,0,0,0,0,1,1,1
"GUCY2C",0,0,0,0,1,0,0,0,0,1,1,1
"GUCY2D",0,0,0,0,1,0,0,0,0,1,1,1
"GZMB",0,0,0,0,1,0,0,0,0,1,1,1
"H1-8",0,1,0,0,0,0,0,0,0,1,1,1
"H2BC14",0,0,0,0,1,0,0,0,0,1,1,1
"H6PD",0,1,0,0,0,0,0,0,0,1,1,1
"HABP2",0,0,0,0,1,0,0,0,0,1,1,1
"HACD4",0,0,0,0,1,0,0,0,0,1,1,1
"HADHB",0,1,0,0,0,0,0,0,0,1,1,1
"HARS2",0,0,0,0,1,0,0,0,0,1,1,1
"HAT1",0,0,0,0,1,0,0,0,0,1,1,1
"HCK",0,0,0,0,1,0,0,0,0,1,1,1
"HCN1",0,0,0,0,1,0,0,0,0,1,1,1
"HCN4",0,0,0,0,1,0,0,0,0,1,1,1
"HDAC2",0,0,0,0,1,0,0,0,0,1,1,1
"HDAC3",0,0,0,0,1,0,0,0,0,1,1,1
"HDAC4",0,0,0,0,1,0,0,0,0,1,1,1
"HDAC6",0,1,0,0,0,0,0,0,0,1,1,1
"HEATR4",0,0,0,0,1,0,0,0,0,1,1,1
"HEATR5A",0,0,0,0,0,1,0,0,0,1,1,1
"HEATR5B",0,0,0,0,1,0,0,0,0,1,1,1
"HEG1",0,1,0,0,0,0,0,0,0,1,1,1
"HEPHL1",0,0,0,0,1,0,0,0,0,1,1,1
"HERC1",0,0,0,0,1,0,0,0,0,1,1,1
"HEY1",0,0,0,0,1,0,0,0,0,1,1,1
"HINT3",0,1,0,0,0,0,0,0,0,1,1,1
"HIVEP1",0,0,0,0,1,0,0,0,0,1,1,1
"HJV",0,0,0,0,1,0,0,0,0,1,1,1
"HKDC1",0,0,0,0,1,0,0,0,0,1,1,1
"HLA-B",0,0,0,0,1,0,0,0,0,1,1,1
"HMBOX1",0,0,0,0,1,0,0,0,0,1,1,1
"HMBS",0,0,0,0,1,0,0,0,0,1,1,1
"HMCN1",0,0,0,0,1,0,0,0,0,1,1,1
"HMGB1",0,0,0,0,0,1,0,0,0,1,1,1
"HNRNPA1L2",0,0,0,0,1,0,0,0,0,1,1,1
"HNRNPDL",0,0,0,0,1,0,0,0,0,1,1,1
"HNRNPF",0,0,0,0,1,0,0,0,0,1,1,1
"HNRNPH1",0,0,0,0,1,0,0,0,0,1,1,1
"HNRNPH2",0,0,0,0,0,1,0,0,0,1,1,1
"HNRNPK",0,0,0,0,0,0,0,1,0,1,1,1
"HNRNPL",0,0,0,0,1,0,0,0,0,1,1,1
"HNRNPUL1",0,0,0,0,1,0,0,0,0,1,1,1
"HOXA9",0,1,0,0,0,0,0,0,0,1,1,1
"HPCA",0,0,0,0,1,0,0,0,0,1,1,1
"HPS1",0,0,0,0,0,1,0,0,0,1,1,1
"HPS5",0,0,0,0,1,0,0,0,0,1,1,1
"HSD11B1",0,0,0,0,1,0,0,0,0,1,1,1
"HSD17B1",0,0,0,0,1,0,0,0,0,1,1,1
"HSD17B4",0,0,0,0,1,0,0,0,0,1,1,1
"HSD17B7",0,0,0,0,1,0,0,0,0,1,1,1
"HSD3B1",0,0,0,0,1,0,0,0,0,1,1,1
"HSH2D",0,0,0,1,0,0,0,0,0,1,1,1
"HSPA12A",0,0,0,0,1,0,0,0,0,1,1,1
"HSPA12B",0,0,0,0,1,0,0,0,0,1,1,1
"HSPA13",0,0,0,0,1,0,0,0,0,1,1,1
"HSPA5",0,0,0,0,1,0,0,0,0,1,1,1
"HSPG2",0,0,0,0,1,0,0,0,0,1,1,1
"HSPH1",0,0,0,0,1,0,0,0,0,1,1,1
"HTR1A",0,0,0,0,1,0,0,0,0,1,1,1
"HTR2B",0,0,0,0,1,0,0,0,0,1,1,1
"HTR3A",0,0,0,0,1,0,0,0,0,1,1,1
"HUWE1",0,0,0,0,1,0,0,0,0,1,1,1
"HYAL1",0,1,0,0,0,0,0,0,0,1,1,1
"HYAL4",0,0,0,0,1,0,0,0,0,1,1,1
"HYOU1",0,0,0,0,0,1,0,0,0,1,1,1
"IAH1",0,0,0,0,1,0,0,0,0,1,1,1
"ICAM3",0,0,0,0,1,0,0,0,0,1,1,1
"ICE1",0,0,0,0,1,0,0,0,0,1,1,1
"IDE",0,0,0,0,1,0,0,0,0,1,1,1
"IDNK",1,0,0,0,0,0,0,0,0,1,1,1
"IFI35",0,1,0,0,0,0,0,0,0,1,1,1
"IFNAR2",0,1,0,0,0,0,0,0,0,1,1,1
"IFT172",0,0,0,0,1,0,0,0,0,1,1,1
"IGF2",0,0,0,0,1,0,0,0,0,1,1,1
"IGF2R",0,0,0,0,0,1,0,0,0,1,1,1
"IGHV2-26",0,0,0,0,1,0,0,0,0,1,1,1
"IGHV3-23",0,0,0,0,1,0,0,0,0,1,1,1
"IGKC",0,0,0,0,1,0,0,0,0,1,1,1
"IGKV1D-8",0,0,0,0,1,0,0,0,0,1,1,1
"IGKV2D-29",0,0,0,0,1,0,0,0,0,1,1,1
"IGLV3-27",0,0,0,0,0,1,0,0,0,1,1,1
"IGLV4-69",0,0,0,0,1,0,0,0,0,1,1,1
"IGSF1",0,0,0,0,1,0,0,0,0,1,1,1
"IGSF10",0,0,0,0,0,1,0,0,0,1,1,1
"IGSF3",0,0,0,0,1,0,0,0,0,1,1,1
"IGSF9B",0,0,0,0,1,0,0,0,0,1,1,1
"IL15RA",0,0,0,0,1,0,0,0,0,1,1,1
"IL17RE",0,0,0,0,1,0,0,0,0,1,1,1
"IL1RAPL1",0,0,0,0,1,0,0,0,0,1,1,1
"IL4R",0,0,0,0,1,0,0,0,0,1,1,1
"IL5RA",0,0,0,0,1,0,0,0,0,1,1,1
"IL6R",0,0,0,0,1,0,0,0,0,1,1,1
"ILDR1",0,0,0,0,0,1,0,0,0,1,1,1
"ILRUN",0,0,0,0,1,0,0,0,0,1,1,1
"IMPG2",0,0,0,0,1,0,0,0,0,1,1,1
"INHBB",0,0,0,0,1,0,0,0,0,1,1,1
"INPP4A",0,0,0,0,1,0,0,0,0,1,1,1
"INPP4B",0,0,0,0,1,0,0,0,0,1,1,1
"INPP5B",0,0,0,0,1,0,0,0,0,1,1,1
"INPP5D",0,0,0,0,1,0,0,0,0,1,1,1
"INSR",0,0,0,0,1,0,0,0,0,1,1,1
"INTS11",0,0,0,0,1,0,0,0,0,1,1,1
"IPCEF1",1,0,0,0,0,0,0,0,0,1,1,1
"IPO7",0,0,0,0,1,0,0,0,0,1,1,1
"IQCC",0,0,0,0,1,0,0,0,0,1,1,1
"IQCF1",1,0,0,0,0,0,0,0,0,1,1,1
"IQCG",0,0,0,0,1,0,0,0,0,1,1,1
"IQGAP2",0,0,0,0,1,0,0,0,0,1,1,1
"IQSEC2",0,0,0,0,1,0,0,0,0,1,1,1
"IRAK2",0,0,0,0,1,0,0,0,0,1,1,1
"IREB2",0,0,0,0,1,0,0,0,0,1,1,1
"IRF1",0,0,0,0,1,0,0,0,0,1,1,1
"IRF2",0,0,0,0,1,0,0,0,0,1,1,1
"IRF2BP2",0,0,0,0,1,0,0,0,0,1,1,1
"IRF9",0,0,0,0,1,0,0,0,0,1,1,1
"IRGC",0,0,0,0,1,0,0,0,0,1,1,1
"ISLR",0,0,0,0,1,0,0,0,0,1,1,1
"IST1",0,0,0,0,1,0,0,0,0,1,1,1
"ISX",0,0,0,0,1,0,0,0,0,1,1,1
"ITCH",0,1,0,0,0,0,0,0,0,1,1,1
"ITGA2",1,0,0,0,0,0,0,0,0,1,1,1
"ITIH5",0,0,0,0,1,0,0,0,0,1,1,1
"ITIH6",0,0,0,0,1,0,0,0,0,1,1,1
"ITPR1",0,0,0,0,1,0,0,0,0,1,1,1
"ITPR2",0,0,0,0,1,0,0,0,0,1,1,1
"ITPRIP",0,0,0,0,1,0,0,0,0,1,1,1
"ITSN1",0,0,0,0,1,0,0,0,0,1,1,1
"IVD",0,0,0,0,1,0,0,0,0,1,1,1
"IZUMO1R",0,0,0,0,1,0,0,0,0,1,1,1
"JADE2",0,0,0,0,1,0,0,0,0,1,1,1
"JAG1",0,0,0,0,1,0,0,0,0,1,1,1
"JAK3",0,0,0,0,1,0,0,0,0,1,1,1
"JMJD1C",0,0,0,0,1,0,0,0,0,1,1,1
"KALRN",0,0,0,0,1,0,0,0,0,1,1,1
"KANK1",0,0,0,0,1,0,0,0,0,1,1,1
"KANSL1",0,1,0,0,0,0,0,0,0,1,1,1
"KASH5",0,0,0,0,1,0,0,0,0,1,1,1
"KAT6B",0,0,0,0,1,0,0,0,0,1,1,1
"KATNA1",0,0,0,0,1,0,0,0,0,1,1,1
"KATNAL2",0,0,0,0,1,0,0,0,0,1,1,1
"KBTBD3",0,0,0,0,1,0,0,0,0,1,1,1
"KBTBD4",0,0,0,0,1,0,0,0,0,1,1,1
"KCNA1",0,0,0,0,1,0,0,0,0,1,1,1
"KCNA4",0,0,0,0,0,1,0,0,0,1,1,1
"KCNA5",0,0,0,0,1,0,0,0,0,1,1,1
"KCNC1",0,0,0,0,1,0,0,0,0,1,1,1
"KCND3",0,0,0,0,1,0,0,0,0,1,1,1
"KCNE3",0,0,0,0,1,0,0,0,0,1,1,1
